episodes,step,loss
1,1000,1.2039
1,2000,0.847
1,3000,0.4178
1,4000,0.2175
1,5000,0.2185
1,6000,0.0954
1,7000,0.0731
1,8000,0.0858
1,9000,0.0717
1,10000,0.0596
1,11000,0.0501
1,12000,0.0399
1,13000,0.0394
1,14000,0.0363
1,15000,0.0371
1,16000,0.0242
1,17000,0.0315
1,18000,0.0283
1,19000,0.029
1,20000,0.0281
1,21000,0.0267
1,22000,0.025
1,23000,0.0292
1,24000,0.0259
1,25000,0.0211
1,26000,0.0193
1,27000,0.0267
1,28000,0.0196
1,29000,0.0179
1,30000,0.0168
1,31000,0.0204
1,32000,0.014
1,33000,0.0182
1,34000,0.0143
1,35000,0.0186
1,36000,0.0176
1,37000,0.0153
1,38000,0.0129
1,39000,0.0151
1,40000,0.0179
1,41000,0.0126
1,42000,0.0158
1,43000,0.0163
1,44000,0.0149
1,45000,0.0174
2,1000,1.3908
2,2000,0.8992
2,3000,0.4944
2,4000,0.2489
2,5000,0.1753
2,6000,0.1526
2,7000,0.1031
2,8000,0.0957
2,9000,0.0737
2,10000,0.0596
2,11000,0.0609
2,12000,0.0511
2,13000,0.0475
2,14000,0.0539
2,15000,0.0412
2,16000,0.0368
2,17000,0.0376
2,18000,0.0363
2,19000,0.0376
2,20000,0.0347
2,21000,0.028
2,22000,0.0279
2,23000,0.0302
2,24000,0.0281
2,25000,0.033
2,26000,0.0279
2,27000,0.0231
2,28000,0.0239
2,29000,0.023
2,30000,0.0217
2,31000,0.0187
2,32000,0.0248
2,33000,0.0217
2,34000,0.0263
2,35000,0.0203
2,36000,0.019
2,37000,0.0218
2,38000,0.0231
2,39000,0.0276
2,40000,0.0223
2,41000,0.0142
2,42000,0.0202
2,43000,0.0174
2,44000,0.0201
2,45000,0.023
5,1000,1.7248
5,2000,0.9081
5,3000,0.4258
5,4000,0.2602
5,5000,0.2045
5,6000,0.1489
5,7000,0.1188
5,8000,0.084
5,9000,0.096
5,10000,0.1158
5,11000,0.061
5,12000,0.0569
5,13000,0.0517
5,14000,0.0571
5,15000,0.0362
5,16000,0.0358
5,17000,0.0354
5,18000,0.0339
5,19000,0.0418
5,20000,0.0299
5,21000,0.0313
5,22000,0.0286
5,23000,0.0234
5,24000,0.0246
5,25000,0.0395
5,26000,0.0285
5,27000,0.0237
5,28000,0.0229
5,29000,0.016
5,30000,0.0281
5,31000,0.0193
5,32000,0.019
5,33000,0.024
5,34000,0.049
5,35000,0.0227
5,36000,0.0177
5,37000,0.019
5,38000,0.0241
5,39000,0.0225
5,40000,0.0278
5,41000,0.0381
5,42000,0.0184
5,43000,0.0161
5,44000,0.0253
5,45000,0.021
10,1000,1.3972
10,2000,0.9633
10,3000,0.5061
10,4000,0.3178
10,5000,0.1951
10,6000,0.1842
10,7000,0.1286
10,8000,0.1032
10,9000,0.1063
10,10000,0.1033
10,11000,0.0627
10,12000,0.0814
10,13000,0.064
10,14000,0.0656
10,15000,0.0711
10,16000,0.0534
10,17000,0.0702
10,18000,0.0676
10,19000,0.058
10,20000,0.0694
10,21000,0.0399
10,22000,0.0449
10,23000,0.0955
10,24000,0.0564
10,25000,0.0463
10,26000,0.0421
10,27000,0.0503
10,28000,0.033
10,29000,0.0434
