episodes,checkpoint_005000,checkpoint_010000,checkpoint_015000,checkpoint_020000,checkpoint_025000,checkpoint_030000,checkpoint_035000,checkpoint_040000,checkpoint_045000,final
1,0.3,0.35,0.35,0.5,0.3,0.25,0.3,0.2,0.4,0.5
2,0.45,0.3,0.4,0.25,0.4,0.15,0.25,0.35,0.35,0.45
5,0.25,0.45,0.6,0.45,0.35,0.4,0.45,0.3,0.7,0.5
10,0.15,0.45,0.55,0.5,0.5,0.65,0.55,0.65,0.5,0.6
20,0.55,0.7,0.5,0.7,0.6,0.6,0.7,0.8,0.65,0.8
40,0.3,0.3,0.45,0.55,0.3,0.45,0.15,0.5,0.4,0.4
60,0.45,0.55,0.35,0.25,0.55,0.6,0.45,0.45,0.55,0.5
80,0.7,0.85,0.7,0.7,0.8,0.75,0.7,0.8,0.7,0.7
100,0.85,0.7,0.85,0.85,0.7,0.9,0.85,0.95,0.85,0.8
120,0.8,0.8,0.8,0.9,1.0,1.0,0.95,0.75,0.8,0.8
140,0.45,0.85,0.75,0.65,0.8,0.95,0.9,1.0,0.95,0.8
157,0.65,0.8,0.85,0.85,0.95,0.9,0.85,0.9,1.0,0.85
