x,y,success_rate,episodes,successes,approached,avg_height,avg_steps_success
0.1000,0.0800,0.00,5,0,0,0.0095,0.0
0.1000,0.1550,0.00,5,0,0,0.0095,0.0
0.1000,0.2300,0.00,5,0,0,0.0095,0.0
0.1000,0.3050,0.00,5,0,0,0.0095,0.0
0.1000,0.3800,0.00,5,0,0,0.0095,0.0
0.1625,0.0800,0.00,5,0,0,0.0095,0.0
0.1625,0.1550,0.00,5,0,0,0.0095,0.0
0.1625,0.2300,0.00,5,0,0,0.0095,0.0
0.1625,0.3050,0.00,5,0,0,0.0095,0.0
0.1625,0.3800,0.00,5,0,0,0.0095,0.0
0.2250,0.0800,0.00,5,0,5,0.0095,0.0
0.2250,0.1550,0.00,5,0,5,0.0099,0.0
0.2250,0.2300,0.00,5,0,0,0.0095,0.0
0.2250,0.3050,0.00,5,0,0,0.0095,0.0
0.2250,0.3800,0.00,5,0,0,0.0095,0.0
0.2875,0.0800,0.00,5,0,5,0.0112,0.0
0.2875,0.1550,0.00,5,0,5,0.0351,0.0
0.2875,0.2300,0.00,5,0,0,0.0095,0.0
0.2875,0.3050,0.00,5,0,0,0.0095,0.0
0.2875,0.3800,0.00,5,0,0,0.0095,0.0
0.3500,0.0800,0.00,5,0,5,0.0124,0.0
0.3500,0.1550,0.00,5,0,0,0.0095,0.0
0.3500,0.2300,0.00,5,0,0,0.0095,0.0
0.3500,0.3050,0.00,5,0,0,0.0095,0.0
0.3500,0.3800,0.00,5,0,0,0.0095,0.0
