x,y,success_rate,episodes,successes,ik_failures,avg_height
0.1000,0.0800,0.00,5,0,0,0.0095
0.1000,0.1550,0.00,5,0,0,0.0095
0.1000,0.2300,0.00,5,0,0,0.0095
0.1000,0.3050,0.00,5,0,0,0.0095
0.1000,0.3800,0.00,5,0,0,0.0095
0.1625,0.0800,0.00,5,0,0,0.0095
0.1625,0.1550,0.00,5,0,0,0.0096
0.1625,0.2300,0.00,5,0,0,0.0095
0.1625,0.3050,0.00,5,0,0,0.0095
0.1625,0.3800,0.00,5,0,0,0.0095
0.2250,0.0800,0.00,5,0,0,0.0095
0.2250,0.1550,0.00,5,0,0,0.0107
0.2250,0.2300,0.00,5,0,0,0.0130
0.2250,0.3050,0.00,5,0,0,0.0095
0.2250,0.3800,0.00,5,0,0,0.0103
0.2875,0.0800,0.00,5,0,0,0.0095
0.2875,0.1550,0.00,5,0,0,0.0161
0.2875,0.2300,0.00,5,0,0,0.0238
0.2875,0.3050,0.00,5,0,0,0.0096
0.2875,0.3800,0.00,5,0,0,0.0095
0.3500,0.0800,0.00,5,0,0,0.0095
0.3500,0.1550,0.00,5,0,0,0.0095
0.3500,0.2300,0.00,5,0,0,0.0095
0.3500,0.3050,0.00,5,0,0,0.0125
0.3500,0.3800,0.00,5,0,5,0.0000
