x,y,success_rate,episodes,successes
0.1000,0.0800,0.00,5,0
0.1000,0.1550,0.00,5,0
0.1000,0.2300,0.00,5,0
0.1000,0.3050,0.00,5,0
0.1000,0.3800,0.00,5,0
0.1625,0.0800,0.00,5,0
0.1625,0.1550,0.00,5,0
0.1625,0.2300,0.40,5,2
0.1625,0.3050,0.00,5,0
0.1625,0.3800,0.00,5,0
0.2250,0.0800,0.00,5,0
0.2250,0.1550,0.20,5,1
0.2250,0.2300,0.60,5,3
0.2250,0.3050,0.00,5,0
0.2250,0.3800,0.00,5,0
0.2875,0.0800,0.00,5,0
0.2875,0.1550,0.00,5,0
0.2875,0.2300,0.60,5,3
0.2875,0.3050,0.00,5,0
0.2875,0.3800,0.00,5,0
0.3500,0.0800,0.60,5,3
0.3500,0.1550,0.00,5,0
0.3500,0.2300,0.00,5,0
0.3500,0.3050,0.00,5,0
0.3500,0.3800,0.00,5,0
